Data Set,Preprocessing,Classes,Samples,Features,Binary Features,Algorithm,Depth Limit,Width Limit,Regularization,Time Limit,Machine,Threads,Fold Index,Subsample,Subfeatures,Binary subfeatures,Training Time,Max Depth,# Leaves,# Nodes,Training Accuracy,Test Accuracy,Latex,Source
tic-tac-toe,complete,1,958,18,18,cart,1,2,None,300,leviathan,1,0,766,18,36,0.003623772878,2,2,3,70.10443864,69.27083333,[ $Feat4_o \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
tic-tac-toe,complete,1,958,18,18,cart,1,2,None,300,leviathan,1,1,766,18,36,0.002988085151,2,2,3,67.75456919,78.64583333,[ $Feat4_o \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ],
tic-tac-toe,complete,1,958,18,18,cart,1,2,None,300,leviathan,1,2,766,18,36,0.002960185055,2,2,3,66.84073107,82.29166667,[ $Feat4_o \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ],
tic-tac-toe,complete,1,958,18,18,cart,1,2,None,300,leviathan,1,3,767,18,36,0.003047267906,2,2,3,75.09778357,26.17801047,[ $Feat0_x \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ],
tic-tac-toe,complete,1,958,18,18,cart,1,2,None,300,leviathan,1,4,767,18,36,0.003000759054,2,2,3,81.6166884,0,[ $Feat4_o \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ],
tic-tac-toe,complete,1,958,18,18,cart,2,4,None,300,leviathan,1,0,766,18,36,0.003190083895,3,4,7,70.10443864,69.27083333,[ $Feat4_o \eq 0$ [ $Feat8_x \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] [ $Feat6_o \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ],
tic-tac-toe,complete,1,958,18,18,cart,2,4,None,300,leviathan,1,1,766,18,36,0.003259294666,3,4,7,67.75456919,78.64583333,[ $Feat4_o \eq 1$ [ $Feat0_o \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $Feat2_x \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ],
tic-tac-toe,complete,1,958,18,18,cart,2,4,None,300,leviathan,1,2,766,18,36,0.00325892726,3,4,7,67.62402089,82.29166667,[ $Feat4_o \eq 0$ [ $Feat0_x \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $Feat0_x \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ],
tic-tac-toe,complete,1,958,18,18,cart,2,4,None,300,leviathan,1,3,767,18,36,0.003149408847,3,4,7,81.4863103,26.70157068,[ $Feat0_x \eq 1$ [ $Feat4_o \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $Feat7_x \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ],
tic-tac-toe,complete,1,958,18,18,cart,2,4,None,300,leviathan,1,4,767,18,36,0.003298619762,3,4,7,81.87744459,25.13089005,[ $Feat4_o \eq 1$ [ $Feat8_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] [ $Feat6_x \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] ],
tic-tac-toe,complete,1,958,18,18,cart,3,8,None,300,leviathan,1,0,766,18,36,0.003642680123,4,8,15,75.45691906,61.97916667,[ $Feat4_o \eq 0$ [ $Feat8_x \eq 0$ [ $Feat0_x \eq 1$ [ $class$ [ $1$ ] ] [ $class$ [ $0$ ] ] ] [ $Feat0_x \eq 1$ [ $class$ [ $0$ ] ] [ $class$ [ $0$ ] ] ] ] [ $Feat6_o \eq 0$ [ $Feat8_o \eq 0$ [ $class$ [ $0$ ] ] [ $class$ [ $1$ ] ] ] [ $Feat2_o \eq 0$ [ $class$ [ $1$ ] ] [ $class$ [ $1$ ] ] ] ] ],
