fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,38,29,251,-1,-1,-1,-1,-1,-1,NA
NA,40,29,263,-1,-1,-1,-1,-1,-1,NA
NA,45,29,290,-1,-1,-1,-1,-1,-1,NA
NA,50,29,310,-1,-1,-1,-1,-1,-1,NA
NA,55,29,328,-1,-1,-1,-1,-1,-1,NA
NA,60,29,347,-1,-1,-1,-1,-1,-1,NA
NA,65,29,368,-1,-1,-1,-1,-1,-1,NA
NA,70,29,386,-1,-1,-1,-1,-1,-1,NA
NA,75,29,407,-1,-1,-1,-1,-1,-1,NA
NA,80,29,427,-1,-1,-1,-1,-1,-1,NA
NA,85,29,447,-1,-1,-1,-1,-1,-1,NA
NA,90,29,468,-1,-1,-1,-1,-1,-1,NA
NA,100,29,508,-1,-1,-1,-1,-1,-1,NA
NA,110,29,547,-1,-1,-1,-1,-1,-1,NA
NA,120,29,583,-1,-1,-1,-1,-1,-1,NA
NA,130,29,619,-1,-1,-1,-1,-1,-1,NA
NA,140,29,657,-1,-1,-1,-1,-1,-1,NA
NA,150,29,694,-1,-1,-1,-1,-1,-1,NA
NA,160,29,731,-1,-1,-1,-1,-1,-1,NA
NA,170,29,767,-1,-1,-1,-1,-1,-1,NA
NA,180,29,806,-1,-1,-1,-1,-1,-1,NA
NA,200,29,878,-1,-1,-1,-1,-1,-1,NA
NA,220,29,955,-1,-1,-1,-1,-1,-1,NA
NA,240,29,1034,-1,-1,-1,-1,-1,-1,NA
NA,260,29,1106,-1,-1,-1,-1,-1,-1,NA
NA,280,29,1185,-1,-1,-1,-1,-1,-1,NA
NA,300,29,1254,-1,-1,-1,-1,-1,-1,NA
NA,325,29,1350,-1,-1,-1,-1,-1,-1,NA
NA,350,29,1436,-1,-1,-1,-1,-1,-1,NA
NA,375,29,1529,-1,-1,-1,-1,-1,-1,NA
NA,400,29,1624,-1,-1,-1,-1,-1,-1,NA
NA,425,29,1716,-1,-1,-1,-1,-1,-1,NA
NA,450,29,1802,-1,-1,-1,-1,-1,-1,NA
NA,475,29,1894,-1,-1,-1,-1,-1,-1,NA
NA,500,29,1988,-1,-1,-1,-1,-1,-1,NA
NA,550,29,2173,-1,-1,-1,-1,-1,-1,NA
NA,600,29,2352,-1,-1,-1,-1,-1,-1,NA
NA,650,29,2538,-1,-1,-1,-1,-1,-1,NA
NA,700,29,2718,-1,-1,-1,-1,-1,-1,NA
NA,750,29,2894,-1,-1,-1,-1,-1,-1,NA
NA,800,29,3074,-1,-1,-1,-1,-1,-1,NA
NA,850,29,3252,-1,-1,-1,-1,-1,-1,NA
NA,900,29,3432,-1,-1,-1,-1,-1,-1,NA
NA,950,29,3614,-1,-1,-1,-1,-1,-1,NA
NA,1000,29,3797,-1,-1,-1,-1,-1,-1,NA
