fold_index,samples,features,binary_features,time,depth,leaves,nodes,training,test,tex
NA,60,23,486,-1,-1,-1,-1,-1,-1,NA
NA,65,23,508,-1,-1,-1,-1,-1,-1,NA
NA,70,23,538,-1,-1,-1,-1,-1,-1,NA
NA,75,23,558,-1,-1,-1,-1,-1,-1,NA
NA,80,23,582,-1,-1,-1,-1,-1,-1,NA
NA,85,23,601,-1,-1,-1,-1,-1,-1,NA
NA,90,23,616,-1,-1,-1,-1,-1,-1,NA
NA,100,23,655,-1,-1,-1,-1,-1,-1,NA
NA,110,23,683,-1,-1,-1,-1,-1,-1,NA
NA,120,23,716,-1,-1,-1,-1,-1,-1,NA
NA,130,23,748,-1,-1,-1,-1,-1,-1,NA
NA,140,23,777,-1,-1,-1,-1,-1,-1,NA
NA,150,23,800,-1,-1,-1,-1,-1,-1,NA
NA,160,23,817,-1,-1,-1,-1,-1,-1,NA
NA,170,23,827,-1,-1,-1,-1,-1,-1,NA
NA,180,23,844,-1,-1,-1,-1,-1,-1,NA
NA,200,23,871,-1,-1,-1,-1,-1,-1,NA
NA,220,23,913,-1,-1,-1,-1,-1,-1,NA
NA,240,23,937,-1,-1,-1,-1,-1,-1,NA
NA,260,23,966,-1,-1,-1,-1,-1,-1,NA
NA,280,23,992,-1,-1,-1,-1,-1,-1,NA
NA,300,23,1021,-1,-1,-1,-1,-1,-1,NA
NA,325,23,1055,-1,-1,-1,-1,-1,-1,NA
NA,350,23,1083,-1,-1,-1,-1,-1,-1,NA
NA,375,23,1100,-1,-1,-1,-1,-1,-1,NA
NA,400,23,1122,-1,-1,-1,-1,-1,-1,NA
NA,425,23,1148,-1,-1,-1,-1,-1,-1,NA
NA,450,23,1165,-1,-1,-1,-1,-1,-1,NA
NA,475,23,1182,-1,-1,-1,-1,-1,-1,NA
NA,500,23,1191,-1,-1,-1,-1,-1,-1,NA
NA,550,23,1221,-1,-1,-1,-1,-1,-1,NA
NA,600,23,1250,-1,-1,-1,-1,-1,-1,NA
NA,650,23,1266,-1,-1,-1,-1,-1,-1,NA
NA,700,23,1284,-1,-1,-1,-1,-1,-1,NA
NA,750,23,1311,-1,-1,-1,-1,-1,-1,NA
NA,800,23,1335,-1,-1,-1,-1,-1,-1,NA
NA,850,23,1357,-1,-1,-1,-1,-1,-1,NA
NA,900,23,1374,-1,-1,-1,-1,-1,-1,NA
NA,950,23,1385,-1,-1,-1,-1,-1,-1,NA
NA,1000,23,1407,-1,-1,-1,-1,-1,-1,NA
